source,target
Path selection button in various wizards,Кнопка выбора пути в различных мастерах
"<variable id=""optionen"">Choose <emph>Tools - Options</emph></variable>","<variable id=""optionen"">Выберите команды <emph>Сервис - Параметры</emph>.</variable>"
"<variable id=""optionenallgemein"">Choose <emph>Tools - Options - $[officename]</emph></variable>","<variable id=""optionenallgemein"">Выберите команды <emph>Сервис - Параметры - $[officename]</emph></variable>"
"<variable id=""ansicht"">Choose <emph>Tools - Options - $[officename] - View</emph></variable>","<variable id=""ansicht"">Выберите команды <emph>Сервис - Параметры - $[officename] - Вид</emph></variable>"
"<variable id=""drucken"">Choose <emph>Tools - Options - $[officename] - Print</emph></variable>","<variable id=""drucken"">Выберите команды <emph>Сервис - Параметры - $[officename] - Печать</emph></variable>"
Choose <emph>Tools - Options - $[officename] - Paths</emph>,Выберите команды <emph>Сервис - Параметры - $[officename] - Пути</emph>
Choose <emph>Edit - AutoText - Path</emph>,Выберите команды <emph>Правка - Автотекст - Путь</emph>.
Choose <emph>Tools - Options - $[officename] - Colors</emph>,Выберите команды <emph>Сервис - Параметры - $[officename] - Цвета</emph>
Choose <emph>Format - Area - Colors</emph> tab,Выберите вкладку <emph>Формат - Область - Цвета</emph>
Choose <emph>Tools - Options - $[officename] - Colors - Edit</emph>,Выберите команды <emph>Сервис - Параметры - $[officename] - Цвета - Правка</emph>
"<image id=""img_id3148386"" src=""svx/res/colordlg.png"" width=""0.1661inch"" height=""0.1661inch""><alt id=""alt_id3148386"">Icon</alt></image>","<image id=""img_id3148386"" src=""svx/res/colordlg.png"" width=""0.1661inch"" height=""0.1661inch""><alt id=""alt_id3148386"">значок</alt></image>"
Select color on the <emph>Color</emph> tab page,Выберите цвет на вкладке <emph>Цвет</emph>
"<variable id=""schriers"">Choose <emph>Tools - Options - $[officename] - Fonts</emph></variable>","<variable id=""schriers"">Выберите команды <emph>Сервис - Параметры - $[officename] - Шрифты</emph></variable>"
"<variable id=""scripting"">Choose <emph>Tools - Options - $[officename] - Security</emph></variable>","<variable id=""scripting"">Выберите команды <emph>Сервис - Параметры - $[officename] - Безопасность</emph></variable>"
"<variable id=""java"">Choose <emph>Tools - Options - $[officename] - Java</emph></variable>","<variable id=""java"">Выберите команды <emph>Сервис - Параметры - $[officename] - Java</emph></variable>"
"<variable id=""online_update"">Choose <emph>Tools - Options - $[officename] - Online Update </emph></variable>","<variable id=""online_update"">Choose <emph>Tools - Options - $[officename] - Online Update </emph></variable>"
"<variable id=""accessibility"">Choose <emph>Tools - Options - $[officename] - Accessibility</emph></variable>","<variable id=""accessibility"">Выберите команды <emph>Сервис - Параметры - $[officename] - Специальные возможности</emph></variable>"
"<variable id=""landen"">Choose <emph>Tools - Options - Load/Save</emph></variable>","<variable id=""landen"">Выберите команды <emph>Сервис - Параметры - Загрузка/сохранение</emph></variable>"
"<variable id=""etsofi2"">Choose <emph>Tools - Options - Load/Save</emph> - <emph>Microsoft Office</emph></variable>","<variable id=""etsofi2"">Выберите команды <emph>Сервис - Параметры - Загрузка/сохранение</emph> - <emph>Microsoft Office</emph></variable>"
"<variable id=""html"">Choose <emph>Tools - Options - Load/Save</emph> - <emph>HTML Compatibility</emph></variable>","<variable id=""html"">Выберите команды <emph>Сервис - Параметры - Загрузка/сохранение</emph> - <emph>Совместимость с HTML</emph></variable>"
"<variable id=""internet"">Choose <emph>Tools - Options - Internet</emph></variable>","<variable id=""internet"">Выберите команды <emph>Сервис - Параметры - Интернет</emph></variable>"
"<variable id=""internet1"">Choose <emph>Tools - Options - Internet - Proxy</emph></variable>","<variable id=""internet1"">Выберите команды <emph>Сервис - Параметры - Интернет - Прокси</emph></variable>"
"<variable id=""internet4"">Choose <emph>Tools - Options - Internet - Search</emph></variable>","<variable id=""internet4"">Выберите команды <emph>Сервис - Параметры - Интернет - Поиск</emph></variable>"
"<variable id=""raster"">Choose <emph>Tools - Options - %PRODUCTNAME Writer/%PRODUCTNAME Calc/%PRODUCTNAME Writer/Web - Grid</emph></variable>","<variable id=""raster"">Выберите команды <emph>Сервис - Параметры - %PRODUCTNAME Writer/%PRODUCTNAME Calc/%PRODUCTNAME Writer/Web - Сетка</emph></variable>"
"<variable id=""drucken1"">Choose <emph>Tools - Options - %PRODUCTNAME Writer/ %PRODUCTNAME Writer/Web/%PRODUCTNAME Calc </emph>- <emph>Print</emph></variable>","<variable id=""drucken1"">Выберите команды <emph>Сервис - Параметры - %PRODUCTNAME Writer/ %PRODUCTNAME Writer/Web/%PRODUCTNAME Calc </emph>- <emph>Печать</emph></variable>"
"<variable id=""registertabelle"">Choose <emph>Tools - Options - %PRODUCTNAME Writer/%PRODUCTNAME Writer/Web - Table</emph></variable>","<variable id=""registertabelle"">Выберите команды <emph>Сервис - Параметры - %PRODUCTNAME Writer/%PRODUCTNAME Writer/Web - Таблица</emph></variable>"
"<variable id=""diagrfarbe"">Choose <emph>Tools - Options - Charts</emph></variable>","<variable id=""diagrfarbe"">Выберите команды <emph>Сервис - Параметры - Диаграммы</emph></variable>"
"<variable id=""datenqu"">Choose <emph>Tools - Options - %PRODUCTNAME Base</emph></variable>","<variable id=""datenqu"">Выберите команды <emph>Сервис - Параметры - %PRODUCTNAME Base</emph>.</variable>"
"<variable id=""registered"">Choose <emph>Tools - Options - %PRODUCTNAME Base - Databases</emph></variable>","<variable id=""registered"">Выберите команды <emph>Сервис - Параметры - %PRODUCTNAME Base - Базы данных</emph></variable>"
PNG options,PNG Апараметр 
Compression 0..9,Аиҵацалара 0..9
Create Link,Иаԥҵатәуп аимадара...
"<image id=""img_id3150865"" src=""res/commandimagelist/sc_showpropbrowser.png"" width=""0.1665inch"" height=""0.1665inch""><alt id=""alt_id3150865"">Icon</alt></image>","<image id=""img_id3150865"" src=""res/commandimagelist/sc_showpropbrowser.png"" width=""0.1665inch"" height=""0.1665inch""><alt id=""alt_id3150865"">значок</alt></image>"
"<image id=""img_id3148676"" src=""res/commandimagelist/sc_formproperties.png"" width=""0.1665inch"" height=""0.1665inch""><alt id=""alt_id3148676"">Icon</alt></image>","<image id=""img_id3148676"" src=""res/commandimagelist/sc_formproperties.png"" width=""0.1665inch"" height=""0.1665inch""><alt id=""alt_id3148676"">значок</alt></image>"
"Open context menu of a selected control on an XML Form document, choose <emph>Control - Data</emph> tab","Open context menu of a selected control on an XML Form document, choose <emph>Control - Data</emph> tab"
"Open Form Controls toolbar of an XML Form document, click <emph>Control</emph> icon - <emph>Data</emph> tab","Open Form Controls toolbar of an XML Form document, click <emph>Control</emph> icon - <emph>Data</emph> tab"
"<image id=""img_id3149064"" src=""res/commandimagelist/sc_showbrowser.png"" width=""0.1665inch"" height=""0.1665inch""><alt id=""alt_id3149064"">Icon</alt></image>","<image id=""img_id3149064"" src=""res/commandimagelist/sc_showbrowser.png"" width=""0.1665inch"" height=""0.1665inch""><alt id=""alt_id3149064"">значок</alt></image>"
"Open Form Design toolbar, click","Open Form Design toolbar, click"
"<image id=""img_id3159345"" src=""res/commandimagelist/sc_tabdialog.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3159345"">Icon</alt></image>","<image id=""img_id3159345"" src=""res/commandimagelist/sc_tabdialog.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3159345"">значок</alt></image>"
Activation Order,Активизациа азушьа 
"<image id=""img_id3153530"" src=""res/commandimagelist/sc_addfield.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3153530"">Icon</alt></image>","<image id=""img_id3153530"" src=""res/commandimagelist/sc_addfield.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3153530"">значок</alt></image>"
Add Field,Аҭыԥ ацҵатәуп
"<image id=""img_id3157869"" src=""res/commandimagelist/sc_showfmexplorer.png"" width=""0.1665inch"" height=""0.1665inch""><alt id=""alt_id3157869"">Icon</alt></image>","<image id=""img_id3157869"" src=""res/commandimagelist/sc_showfmexplorer.png"" width=""0.1665inch"" height=""0.1665inch""><alt id=""alt_id3157869"">значок</alt></image>"
"Open Form Controls toolbar or Form Design toolbar, click","Open Form Controls toolbar or Form Design toolbar, click"
"<image id=""img_id3154508"" src=""res/commandimagelist/sc_testmode.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3154508"">Icon</alt></image>","<image id=""img_id3154508"" src=""res/commandimagelist/sc_testmode.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3154508"">значок</alt></image>"
Design Mode on/off,Режим конструктора
"<image id=""img_id3151189"" src=""res/commandimagelist/sc_openreadonly.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3151189"">Icon</alt></image>","<image id=""img_id3151189"" src=""res/commandimagelist/sc_openreadonly.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3151189"">значок</alt></image>"
"<image id=""img_id3156375"" src=""res/commandimagelist/sc_usewizards.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3156375"">Icon</alt></image>","<image id=""img_id3156375"" src=""res/commandimagelist/sc_usewizards.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3156375"">значок</alt></image>"
"Choose <emph>Format - Arrange</emph> ($[officename] Writer, $[officename] Calc)","Выберите команды <emph>Формат - Расположение</emph> ($[officename] Writer, $[officename] Calc)"
Choose <emph>Modify - Arrange</emph> ($[officename] Draw),Выберите команды <emph>Изменить - Расположение</emph> ($[officename] Draw)
"<image id=""img_id3109842"" src=""res/commandimagelist/sc_bringtofront.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3109842"">Icon</alt></image>","<image id=""img_id3109842"" src=""res/commandimagelist/sc_bringtofront.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3109842"">значок</alt></image>"
"<image id=""img_id3145220"" src=""res/commandimagelist/sc_bringtofront.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3145220"">Icon</alt></image>","<image id=""img_id3145220"" src=""res/commandimagelist/sc_bringtofront.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3145220"">значок</alt></image>"
Bring to Front,Аԥхьатәи аплан ахь
"Choose <emph>Format - Arrange - Bring Forward</emph> ($[officename] Writer, $[officename] Calc)","Выберите команды <emph>Формат - Расположение - Переместить вперед</emph> ($[officename] Writer, $[officename] Calc)"
Choose <emph>Modify - Arrange - Bring Forward</emph> ($[officename] Draw),Выберите команды <emph>Изменить - Расположение - Переместить вперед</emph> ($[officename] Draw)
"<image id=""img_id3156142"" src=""res/commandimagelist/sc_forward.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3156142"">Icon</alt></image>","<image id=""img_id3156142"" src=""res/commandimagelist/sc_forward.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3156142"">значок</alt></image>"
Bring Forward,ԥхьаҟа анахара
"Choose <emph>Format - Arrange - Send Backward</emph> ($[officename] Writer, $[officename] Calc)","Выберите команды <emph>Формат - Расположение - Переместить назад</emph> ($[officename] Writer, $[officename] Calc)"
Choose <emph>Modify - Arrange - Send Backward</emph> ($[officename] Draw),Выберите команды <emph>Изменить - Расположение - Переместить назад</emph> ($[officename] Draw)
"<switchinline select=""sys""><caseinline select=""MAC"">Command </caseinline><defaultinline>Ctrl</defaultinline></switchinline>+minus sign ($[officename] Impress, $[officename] Draw)","<switchinline select=""sys""><caseinline select=""MAC"">Command </caseinline><defaultinline>CTRL</defaultinline></switchinline>+знак ""минус"" ($[officename] Impress, $[officename] Draw)"
