Сара сҭоурых.	Моя история.
Лассы-ласс аброуп бзиа иаҳбо аспорт хкы ахьалаҳхуагьы.	И часто мы именно здесь выбираем любимый вид спорта.
Убри аҟнытә ашкол аҿы иҟоу абаҩрҵәыра аурок акраҵанакуеит.	Именно поэтому уроки физкультуры в школе очень важны.
Ашкол аҿы абаҩрҵәыра аурокқәа мчыбжьык ҩынтә имҩаԥысуеит.	В школе уроки физкультуры проводятся дважды в неделю.
Професионалла аспорт зхы азызкырц зҭаху, аспорттә секциақәа рахь иныҟәоит.	Те, кто хотят стать профессионалами, посещают спортивные секции.
Сара бзиа избоит амҵәышәмпыл.	Я люблю баскетбол.
Амҵәышәмпыл иласу, интересу хәмарроуп.	Баскетбол – динамичная и интересная игра.
Уи иунарҵоит аилҟьара, аццакра, аласра, азҿлымҳара, ачҳара, аҽынкылара, иуланааӡоит аколлективтә еидгылара, аицхыраара.	Он развивает, например, быструю реакцию, ловкость, скорость, внимание, терпение, силу воли и коллективный дух и сотрудничество.
Сара шьҭа аспорт зегьы аҿызароуп ҳәа исыԥхьаӡоит.	Я уже понял, что спорт нужен каждому.
Убри аҟнытә макьана ишәмыӡбацзар иарбан спорт хку ишәҭаху, лассы шәазхәыцны иалышәх; усҟан шәыԥсҭазаара шаҟа иеиӷьхо жәбап.	Поэтому, если вы еще не выбрали каким видом спорта хотели бы заниматься, выбирайте по-скорее и увидите: ваша жизнь станет интереснее.
Ҳаԥсҭазаараҿы аспорт акраҵанакуеит.	Спорт важен в нашей жизни.
Аспорт даара акраҵанакуеит ҳаԥсҭазаараҿ.	Спорт важен в нашей жизни.
Уи аҿаргьы зықәрахь инеихьоу ауаагьы ирылаҵәаны иҟоуп.	Он популярен среди молодежи и пожилых людей.
