%PRODUCTNAME аелектронтә ԥошьҭа азынашьҭрақәа рзы  аелектронтә ԥошьҭа архиарақәа аҭахуп.\n\n Иазшәырхиарц шәҭахума уи уажәы ?	Для рассылки электронной почты %PRODUCTNAME требуется действительная учётная запись.\n\nНастроить сейчас учётную запись электронной почты?
%PRODUCTNAME ақәыргылара	Установка %PRODUCTNAME
%PRODUCTNAME хархәаҩык иаҳасаб ала шәыҽҭашәыҩҩыр ҟалоит. Аҽҭаҩҩра хатәгәаԥхаралоуп хәдықәҵара ыҟаӡам	У вас есть возможность зарегистрироваться как пользователь %PRODUCTNAME. Регистрация добровольная и без обязательств.\n\nЕсли вы зарегистрируетесь, мы можем информировать Вас о новых разработках относительно этого продукта.
\<image id=\"img_id3150122\" src=\"res/commandimagelist/sc_stylenewbyexample.png\" width=\"5.64mm\" height=\"5.64mm\"\>\<alt id=\"alt_id3150122\"\>значок\</alt\>\</image\>	\<image id=\"img_id3150122\" src=\"res/commandimagelist/sc_stylenewbyexample.png\" width=\"0.1665in\" height=\"0.1665in\"\>\<alt id=\"alt_id3150122\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150169\" src=\"sw/imglst/wr05.png\" width=\"0.4307inch\" height=\"0.4307inch\"\>\<alt id=\"alt_id3150169\"\>значок\</alt\>\</image\>	\<image id=\"img_id3150169\" src=\"sw/imglst/wr05.png\" width=\"0.82cm\" height=\"0.82cm\"\>\<alt id=\"alt_id3150169\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150224\" src=\"sw/imglst/sc20177.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3150224\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3150224\" src=\"sw/imglst/sc20177.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3150224\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150255\" src=\"sfx2/res/hlpdoc.png\" width=\"5.64mm\" height=\"5.64mm\"\>\<alt id=\"alt_id3150255\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3150255\" src=\"sfx2/res/hlpdoc.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3150255\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150286\" src=\"res/commandimagelist/sc_insertcolumns.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3150286\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3150286\" src=\"res/commandimagelist/sc_insertcolumns.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3150286\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150357\" src=\"res/commandimagelist/sc_connectorlinesarrowend.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3150357\"\>значок\</alt\>\</image\>	\<image id=\"img_id3150357\" src=\"res/commandimagelist/sc_connectorlinesarrowend.png\" width=\"0.566cm\" height=\"0.566cm\"\>\<alt id=\"alt_id3150357\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150358\" src=\"res/commandimagelist/sc_redo.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3150358\"\>значок\</alt\>\</image\>	\<image id=\"img_id3150358\" src=\"res/commandimagelist/sc_redo.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3150358\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150361\" src=\"res/commandimagelist/sc_deleterows.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3150361\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3150361\" src=\"res/commandimagelist/sc_deleterows.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3150361\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150391\" src=\"starmath/res/at21701.png\" width=\"8.47mm\" height=\"8.47mm\"\>\<alt id=\"alt_id3150391\"\>значок\</alt\>\</image\>	\<image id=\"img_id3150391\" src=\"starmath/res/at21701.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3150391\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150394\" src=\"sc/res/date.png\" width=\"0.25inch\" height=\"0.25inch\"\>\<alt id=\"alt_id3150394\"\>значок\</alt\>\</image\>	\<image id=\"img_id3150394\" src=\"sc/res/date.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3150394\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150410\" src=\"res/commandimagelist/sc_cellvertbottom.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3150410\"\>значок\</alt\>\</image\>	\<image id=\"img_id3150410\" src=\"res/commandimagelist/sc_cellvertbottom.png\" width=\"0.222in\" height=\"0.222in\"\>\<alt id=\"alt_id3150410\"\>Icon\</alt\>\</image\>
\<image id=\"img_id3150439\" src=\"sc/res/refinp1.png\" width=\"0.1327inch\" height=\"0.1327inch\"\>\<alt id=\"alt_id3150439\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3150439\" src=\"formula/res/refinp1.png\" width=\"0.1327inch\" height=\"0.1327inch\"\>\<alt id=\"alt_id3150439\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150495\" src=\"res/commandimagelist/sc_paragraphdialog.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3150495\"\>значок\</alt\>\</image\>	\<image id=\"img_id3150495\" src=\"res/commandimagelist/sc_paragraphdialog.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3150495\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150502\" src=\"res/commandimagelist/sc_controlcodes.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3150502\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3150502\" src=\"res/commandimagelist/sc_controlcodes.png\" width=\"0.1665in\" height=\"0.1665in\"\>\<alt id=\"alt_id3150502\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150503\" src=\"res/commandimagelist/sc_fillstyle.png\" width=\"5.64mm\" height=\"5.64mm\"\>\<alt id=\"alt_id3150503\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3150503\" src=\"res/commandimagelist/sc_fillstyle.png\" width=\"0.1665in\" height=\"0.1665in\"\>\<alt id=\"alt_id3150503\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150515\" src=\"sw/imglst/sc20186.png\" width=\"5.64mm\" height=\"5.64mm\"\>\<alt id=\"alt_id3150515\"\>значок\</alt\>\</image\>	\<image id=\"img_id3150515\" src=\"sw/imglst/sc20186.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3150515\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150518\" src=\"res/folderop.png\" width=\"0.222inch\" height=\"0.1665inch\"\>\<alt id=\"alt_id3150518\"\>значок\</alt\>\</image\>	\<image id=\"img_id3150518\" src=\"res/folderop.png\" width=\"0.1665in\" height=\"0.1252in\"\>\<alt id=\"alt_id3150518\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150541\" src=\"res/helpimg/swh00178.png\" width=\"5.66mm\" height=\"5.66mm\"\>\<alt id=\"alt_id3150541\"\>значок\</alt\>\</image\>	\<image id=\"img_id3150541\" src=\"res/helpimg/swh00178.png\" width=\"0.2228inch\" height=\"0.2228inch\"\>\<alt id=\"alt_id3150541\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150590\" src=\"res/commandimagelist/sc_fillstyle.png\" width=\"5.64mm\" height=\"5.64mm\"\>\<alt id=\"alt_id3150590\"\>значок\</alt\>\</image\>	\<image id=\"img_id3150590\" src=\"res/commandimagelist/sc_fillstyle.png\" width=\"0.1665in\" height=\"0.1665in\"\>\<alt id=\"alt_id3150590\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150629\" src=\"res/commandimagelist/sc_connectorlinesarrowstart.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3150629\"\>значок\</alt\>\</image\>	\<image id=\"img_id3150629\" src=\"res/commandimagelist/sc_connectorlinesarrowstart.png\" width=\"0.566cm\" height=\"0.566cm\"\>\<alt id=\"alt_id3150629\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150650\" src=\"res/commandimagelist/sc_glueinsertpoint.png\" width=\"0.1665inch\" height=\"0.1665inch\"\>\<alt id=\"alt_id3150650\"\>значок\</alt\>\</image\>	\<image id=\"img_id3150650\" src=\"res/commandimagelist/sc_glueinsertpoint.png\" width=\"0.423cm\" height=\"0.423cm\"\>\<alt id=\"alt_id3150650\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150669\" src=\"res/commandimagelist/sc_formatline.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3150669\"\>значок\</alt\>\</image\>	\<image id=\"img_id3150669\" src=\"res/commandimagelist/sc_formatline.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3150669\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150695\" src=\"sw/imglst/sc20244.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3150695\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3150695\" src=\"sw/imglst/sc20244.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3150695\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150740\" src=\"res/commandimagelist/sc_editdoc.png\" width=\"5.64mm\" height=\"5.64mm\"\>\<alt id=\"alt_id3150740\"\>значок\</alt\>\</image\>	\<image id=\"img_id3150740\" src=\"res/commandimagelist/sc_editdoc.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3150740\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150753\" src=\"res/commandimagelist/sc_nextrecord.png\" width=\"5.64mm\" height=\"5.64mm\"\>\<alt id=\"alt_id3150753\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3150753\" src=\"res/commandimagelist/sc_nextrecord.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3150753\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150756\" src=\"res/commandimagelist/sc_glueescapedirectionbottom.png\" width=\"0.1665inch\" height=\"0.1665inch\"\>\<alt id=\"alt_id3150756\"\>значок\</alt\>\</image\>	\<image id=\"img_id3150756\" src=\"res/commandimagelist/sc_glueescapedirectionbottom.png\" width=\"0.423cm\" height=\"0.423cm\"\>\<alt id=\"alt_id3150756\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150771\" src=\"res/commandimagelist/sc_timefield.png\"\>\<alt id=\"alt_id3150771\"\>значок\</alt\>\</image\>	\<image id=\"img_id3150771\" src=\"res/commandimagelist/sc_timefield.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3150771\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150773\" src=\"sw/imglst/sc20175.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3150773\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3150773\" src=\"sw/imglst/sc20175.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3150773\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150774\" src=\"res/sc06301.png\" width=\"0.564cm\" height=\"0.564cm\"\>\<alt id=\"alt_id3150774\"\>значок\</alt\>\</image\>	\<image id=\"img_id3150774\" src=\"res/sc06301.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3150774\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150828\" src=\"sw/imglst/sc20171.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3150828\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3150828\" src=\"sw/imglst/sc20171.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3150828\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150831\" src=\"res/commandimagelist/sc_formatungroup.png\" width=\"0.1665inch\" height=\"0.1665inch\"\>\<alt id=\"alt_id3150831\"\>значок\</alt\>\</image\>	\<image id=\"img_id3150831\" src=\"res/commandimagelist/sc_formatungroup.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3150831\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150868\" src=\"res/commandimagelist/sc_fillstyle.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3150868\"\>значок\</alt\>\</image\>	\<image id=\"img_id3150868\" src=\"res/commandimagelist/sc_fillstyle.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3150868\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150902\" src=\"res/commandimagelist/sc_insertrows.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3150902\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3150902\" src=\"res/commandimagelist/sc_insertrows.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3150902\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150910\" src=\"sw/imglst/wr06.png\" width=\"0.4307inch\" height=\"0.4307inch\"\>\<alt id=\"alt_id3150910\"\>значок\</alt\>\</image\>	\<image id=\"img_id3150910\" src=\"sw/imglst/wr06.png\" width=\"0.82cm\" height=\"0.82cm\"\>\<alt id=\"alt_id3150910\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150936\" src=\"res/commandimagelist/sc_connectorarrowend.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3150936\"\>значок\</alt\>\</image\>	\<image id=\"img_id3150936\" src=\"res/commandimagelist/sc_connectorarrowend.png\" width=\"0.423cm\" height=\"0.423cm\"\>\<alt id=\"alt_id3150936\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150936\" src=\"res/commandimagelist/sc_toggletitle.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3150936\"\>значок\</alt\>\</image\>	\<image id=\"img_id3150936\" src=\"res/commandimagelist/sc_toggletitle.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3150936\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150941\" src=\"res/commandimagelist/sc_recsave.png\" width=\"5.64mm\" height=\"5.64mm\"\>\<alt id=\"alt_id3150941\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3150941\" src=\"res/commandimagelist/sc_recsave.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3150941\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150943\" src=\"res/commandimagelist/sc_config.png\" width=\"5.64mm\" height=\"5.64mm\"\>\<alt id=\"alt_id3150943\"\>значок\</alt\>\</image\>	\<image id=\"img_id3150943\" src=\"res/commandimagelist/sc_config.png\" width=\"0.1665in\" height=\"0.1665in\"\>\<alt id=\"alt_id3150943\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150965\" src=\"res/commandimagelist/sc_transformdialog.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3150965\"\>значок\</alt\>\</image\>	\<image id=\"img_id3150965\" src=\"res/commandimagelist/sc_transformdialog.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3150965\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150982\" src=\"res/commandimagelist/sc_connectorlinesarrows.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3150982\"\>значок\</alt\>\</image\>	\<image id=\"img_id3150982\" src=\"res/commandimagelist/sc_connectorlinesarrows.png\" width=\"0.566cm\" height=\"0.566cm\"\>\<alt id=\"alt_id3150982\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3151017\" src=\"res/commandimagelist/sc_insertfixedtext.png\" width=\"2.22mm\" height=\"2.22mm\"\>\<alt id=\"alt_id3151017\"\>значок\</alt\>\</image\>	\<image id=\"img_id3151017\" src=\"res/commandimagelist/sc_insertfixedtext.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3151017\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3151037\" src=\"res/commandimagelist/sc_connectorlinearrows.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3151037\"\>значок\</alt\>\</image\>	\<image id=\"img_id3151037\" src=\"res/commandimagelist/sc_connectorlinearrows.png\" width=\"0.566cm\" height=\"0.566cm\"\>\<alt id=\"alt_id3151037\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3151068\" src=\"res/commandimagelist/sc_underline.png\" width=\"0.222inch\" height=\"0.222inch\" localize=\"true\"\>\<alt id=\"alt_id3151068\"\>значок\</alt\>\</image\>	\<image id=\"img_id3151068\" src=\"res/commandimagelist/sc_underline.png\" width=\"0.2228in\" height=\"0.2228in\" localize=\"true\"\>\<alt id=\"alt_id3151068\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3151073\" src=\"res/commandimagelist/sc_insertpushbutton.png\" width=\"5.64mm\" height=\"5.64mm\"\>\<alt id=\"alt_id3151073\"\>значок\</alt\>\</image\>	\<image id=\"img_id3151073\" src=\"res/commandimagelist/sc_insertpushbutton.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3151073\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3151106\" src=\"res/commandimagelist/sc_gluevertaligncenter.png\" width=\"0.1665inch\" height=\"0.1665inch\"\>\<alt id=\"alt_id3151106\"\>значок\</alt\>\</image\>	\<image id=\"img_id3151106\" src=\"res/commandimagelist/sc_gluevertaligncenter.png\" width=\"0.423cm\" height=\"0.423cm\"\>\<alt id=\"alt_id3151106\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3151116\" src=\"res/commandimagelist/sc_helpzoomin.png\" width=\"5.64mm\" height=\"5.64mm\"\>\<alt id=\"alt_id3151116\"\>значок\</alt\>\</image\>	\<image id=\"img_id3151116\" src=\"res/commandimagelist/sc_helpzoomin.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3151116\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3151183\" src=\"res/commandimagelist/sc_beziersmooth.png\" width=\"5.64mm\" height=\"5.64mm\"\>\<alt id=\"alt_id3151183\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3151183\" src=\"res/commandimagelist/sc_beziersmooth.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3151183\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3151189\" src=\"res/commandimagelist/sc_toggleaxisdescr.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3151189\"\>значок\</alt\>\</image\>	\<image id=\"img_id3151189\" src=\"res/commandimagelist/sc_toggleaxisdescr.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3151189\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3151283\" src=\"res/commandimagelist/sc_framedialog.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3151283\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3151283\" src=\"res/commandimagelist/sc_framedialog.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3151283\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3151284\" src=\"res/commandimagelist/sc_connectorlinescirclestart.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3151284\"\>значок\</alt\>\</image\>	\<image id=\"img_id3151284\" src=\"res/commandimagelist/sc_connectorlinescirclestart.png\" width=\"0.566cm\" height=\"0.566cm\"\>\<alt id=\"alt_id3151284\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3151326\" src=\"res/commandimagelist/sc_connectorlinescircleend.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3151326\"\>значок\</alt\>\</image\>	\<image id=\"img_id3151326\" src=\"res/commandimagelist/sc_connectorlinescircleend.png\" width=\"0.566cm\" height=\"0.566cm\"\>\<alt id=\"alt_id3151326\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3151369\" src=\"sw/imglst/nc20005.png\" width=\"0.1665inch\" height=\"0.1665inch\"\>\<alt id=\"alt_id3151369\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3151369\" src=\"sw/imglst/nc20005.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3151369\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3151390\" src=\"res/commandimagelist/sc_styleupdatebyexample.png\" width=\"0.564cm\" height=\"0.564cm\"\>\<alt id=\"alt_id3151390\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3151390\" src=\"res/commandimagelist/sc_stylenewbyexample.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3151390\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3152381\" src=\"res/commandimagelist/sc_objectcatalog.png\" width=\"5.64mm\" height=\"5.64mm\"\>\<alt id=\"alt_id3152381\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3152381\" src=\"res/commandimagelist/sc_objectcatalog.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3152381\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3152472\" src=\"dbaccess/res/sortdown.png\" width=\"0.397cm\" height=\"0.423cm\"\>\<alt id=\"alt_id3152472\"\>значок\</alt\>\</image\>	\<image id=\"img_id3152472\" src=\"dbaccess/res/sortdown.png\" width=\"0.1563inch\" height=\"0.1665inch\"\>\<alt id=\"alt_id3152472\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3152576\" src=\"res/commandimagelist/sc_polygon_unfilled.png\" width=\"5.64mm\" height=\"5.64mm\"\>\<alt id=\"alt_id3152576\"\>значок\</alt\>\</image\>	\<image id=\"img_id3152576\" src=\"res/commandimagelist/sc_polygon_unfilled.png\" width=\"0.1665in\" height=\"0.1665in\"\>\<alt id=\"alt_id3152576\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3152577\" src=\"res/commandimagelist/sc_newarrangement.png\" width=\"0.564cm\" height=\"0.564cm\"\>\<alt id=\"alt_id3152577\"\>значок\</alt\>\</image\>	\<image id=\"img_id3152577\" src=\"res/commandimagelist/sc_newarrangement.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3152577\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3152580\" src=\"res/commandimagelist/sc_text_marquee.png\" width=\"5.64mm\" height=\"5.64mm\"\>\<alt id=\"alt_id3152580\"\>значок\</alt\>\</image\>	\<image id=\"img_id3152580\" src=\"res/commandimagelist/sc_text_marquee.png\" width=\"0.1665in\" height=\"0.1665in\"\>\<alt id=\"alt_id3152580\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3152772\" src=\"sw/imglst/sf05.png\" width=\"5.64mm\" height=\"5.64mm\"\>\<alt id=\"alt_id3152772\"\>значок\</alt\>\</image\>	\<image id=\"img_id3152772\" src=\"sw/imglst/sf05.png\" width=\"0.1665in\" height=\"0.1665in\"\>\<alt id=\"alt_id3152772\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3152780\" src=\"res/commandimagelist/sc_managebreakpoints.png\" width=\"4.23mm\" height=\"4.23mm\"\>\<alt id=\"alt_id3152780\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3152780\" src=\"res/commandimagelist/sc_togglebreakpoint.png\" width=\"0.1665inch\" height=\"0.1665inch\"\>\<alt id=\"alt_id3152780\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3152866\" src=\"res/commandimagelist/sc_currencyfield.png\" width=\"4.23mm\" height=\"4.23mm\"\>\<alt id=\"alt_id3152866\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3152866\" src=\"res/commandimagelist/sc_currencyfield.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3152866\"\>Значок\</alt\>\</image\>
