Ша сов къинхетаме  а‚ къинхетаме а волчу Делан  цIарца	بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ
Оха ца бахкийтира хьол хьалха а божарий бен‚ Оха цаьрга вехьеш луш. Хаттал хьехам болчу нахе‚ шаьш ца хууш хиллехь	وَمَا أَرْسَلْنَا قَبْلَكَ إِلاَّ رِجَالاً نُّوحِي إِلَيْهِمْ فَاسْأَلُواْ أَهْلَ الذِّكْرِ إِن كُنتُمْ لاَ تَعْلَمُونَ
Оха ца хилийтира царах кхача ца боу дегI‚ уьш ца лаьттира даима	وَمَا جَعَلْنَاهُمْ جَسَدًا لَّا يَأْكُلُونَ الطَّعَامَ وَمَا كَانُوا خَالِدِينَ
ТIаккха Оха бакъхилийтира цаьрца    (элчанашца хилла) ваIда. Оха хьалхабехира уьш а‚ Тхайна луурш а‚ Оха хIаллакбира тIаламбоцурш (элчанаш харцбинарш)	ثُمَّ صَدَقْنَاهُمُ الْوَعْدَ فَأَنجَيْنَاهُمْ وَمَن نَّشَاء وَأَهْلَكْنَا الْمُسْرِفِينَ
Оха доссийна шуьга жайна /хIай Iаьрбий/‚ шена чохь шу хьехор /шух сийдар/ долуш /и шун маттахь хиларца/‚ шу хьекъале ца хуьлу?	لَقَدْ أَنزَلْنَا إِلَيْكُمْ كِتَابًا فِيهِ ذِكْرُكُمْ أَفَلَا تَعْقِلُونَ
Маса йохийна Оха зуламе хилла йолу юрт! Кхиийра Оха царал тIаьхьа кхин къаьмнаш	وَكَمْ قَصَمْنَا مِن قَرْيَةٍ كَانَتْ ظَالِمَةً وَأَنشَأْنَا بَعْدَهَا قَوْمًا آخَرِينَ
Шайна Тхан ницкъ хаабелча‚ уьш цунах сиха бовду	فَلَمَّا أَحَسُّوا بَأْسَنَا إِذَا هُم مِّنْهَا يَرْكُضُونَ
Ма довда! Юхадерза шу шена чохь /хьалха/ ниIмат хиллачу /дахарна/‚ шайн хIусамашка шуьга барт хаттархьама '	لَا تَرْكُضُوا وَارْجِعُوا إِلَى مَا أُتْرِفْتُمْ فِيهِ وَمَسَاكِنِكُمْ لَعَلَّكُمْ تُسْأَلُونَ
Цара элира: 'Бала бу-кх тхуна! Баккъалла а, тхо хилла-кх зуламхой!'	قَالُوا يَا وَيْلَنَا إِنَّا كُنَّا ظَالِمِينَ
И церан узарш ца сецира Оха шаьш хьаькхна ялтин аре санна хиллийтталц‚ шаьш дIатийна а буьсуш	فَمَا زَالَت تِّلْكَ دَعْوَاهُمْ حَتَّى جَعَلْنَاهُمْ حَصِيدًا خَامِدِينَ
Оха ца кхоьллина стигал а‚ латта а‚ цаьршинна юккъехь ерг а Тхаьш ловзуш	وَمَا خَلَقْنَا السَّمَاء وَالْأَرْضَ وَمَا بَيْنَهُمَا لَاعِبِينَ
Тхо хиллехьара синкъерам безаш /зудчунца я доьзалхочунца/‚ Оха и эцна хир бара Тхайгара (Тхан гергахь болчу хьурулIинех а, маликех а)‚ Оха и деш хилча	لَوْ أَرَدْنَا أَن نَّتَّخِذَ لَهْوًا لَّاتَّخَذْنَاهُ مِن لَّدُنَّا إِن كُنَّا فَاعِلِينَ
ХIаъ‚ Оха бакъдолчуьнца туху харцдолчунна тIе – цо и дайа‚ и хIаллакхуьлу. Шуна бāла бу шаьш /Тхуна т/ кхуллучу  /харц/ сибатех	بَلْ نَقْذِفُ بِالْحَقِّ عَلَى الْبَاطِلِ فَيَدْمَغُهُ فَإِذَا هُوَ زَاهِقٌ وَلَكُمُ الْوَيْلُ مِمَّا تَصِفُونَ
Цуьнан бу стигланашкахь а‚ лаьттахь а мел берш. Цунна гергахь берш кура ца бовлу Цунна Iибадат дан‚ кIад ца ло уьш	وَلَهُ مَن فِي السَّمَاوَاتِ وَالْأَرْضِ وَمَنْ عِندَهُ لَا يَسْتَكْبِرُونَ عَنْ عِبَادَتِهِ وَلَا يَسْتَحْسِرُونَ
Цара тасбахь до буса а‚ дийнахь а‚ уьш лагI ца луш	يُسَبِّحُونَ اللَّيْلَ وَالنَّهَارَ لَا يَفْتُرُونَ
Ткъа цара эцна-те делий лаьттах, цара денбеш /белларш/?	أَمِ اتَّخَذُوا آلِهَةً مِّنَ الْأَرْضِ هُمْ يُنشِرُونَ
Цу шиннахьа а АллахI воцург /кхин/ делий хиллехьара – уьш шиъа хIаллакхилла хир яра. ЦIена ву и Дела‚ Iаршан Да‚ цара /Шена т/ кхуллучу харц сибатех	لَوْ كَانَ فِيهِمَا آلِهَةٌ إِلَّا اللَّهُ لَفَسَدَتَا فَسُبْحَانَ اللَّهِ رَبِّ الْعَرْشِ عَمَّا يَصِفُونَ
Цуьнга ца хотту Цо дечух‚ цаьрга хоттур ду /цара дуьненахь динчух лаьцна/	لَا يُسْأَلُ عَمَّا يَفْعَلُ وَهُمْ يُسْأَلُونَ
Ткъа цара лийцина И воцург /кхин/ делий? Ахь āла: 'Дāладе шайн тешаллаш! ХIара хьехам бу соьца болчеран а (Къуръан)‚ сол хьалха хиллачеран а (Таврат а, Инжил а, кхин жайнаш а – царна чохь массанхьа а Дела цхьаъхилар чIагъдеш ду). ХIаъ‚ дукхахболчарна ца хаьа бакъдерг‚ уьш дуьхьалбевлла'	أَمِ اتَّخَذُوا مِن دُونِهِ آلِهَةً قُلْ هَاتُوا بُرْهَانَكُمْ هَذَا ذِكْرُ مَن مَّعِيَ وَذِكْرُ مَن قَبْلِي بَلْ أَكْثَرُهُمْ لَا يَعْلَمُونَ الْحَقَّ فَهُم مُّعْرِضُونَ
Оха ца вахийтина хьол хьалха цхьа а элча‚ Оха шега вехьеца хоуьйтуш бен кхин дела вац Со бен‚ Суна Iибадат дейша‚ аьлла	وَمَا أَرْسَلْنَا مِن قَبْلِكَ مِن رَّسُولٍ إِلَّا نُوحِي إِلَيْهِ أَنَّهُ لَا إِلَهَ إِلَّا أَنَا فَاعْبُدُونِ
Цара элира: 'Лаьцна Къинхетам болчо доьзалхо'. Вонах цIена ву Иза! Уьш-м сийлахь болу леш бай!	وَقَالُوا اتَّخَذَ الرَّحْمَنُ وَلَدًا سُبْحَانَهُ بَلْ عِبَادٌ مُّكْرَمُونَ
Уьш (пайхамараш) Цул хьалха ца бовлу дашца‚ уьш Цуьнан омраца мал еш бу	لَا يَسْبِقُونَهُ بِالْقَوْلِ وَهُم بِأَمْرِهِ يَعْمَلُونَ
Цунна хаьа церан хьалхахь дерг а‚ церан тIехьахь дерг а, цара шапаIат дийр дац Иза шена реза хиллачунна бен‚ уьш Цунах кхоьруш,  эгош бу	يَعْلَمُ مَا بَيْنَ أَيْدِيهِمْ وَمَا خَلْفَهُمْ وَلَا يَشْفَعُونَ إِلَّا لِمَنِ ارْتَضَى وَهُم مِّنْ خَشْيَتِهِ مُشْفِقُونَ
Милла велахь а‚ царах олуш: 'Со ву дела‚ Иза а воцуш'‚ цунна бекхам бийр бу Оха жоьжахатица. Иштта бекхам бо Оха зуламхошна	وَمَن يَقُلْ مِنْهُمْ إِنِّي إِلَهٌ مِّن دُونِهِ فَذَلِكَ نَجْزِيهِ جَهَنَّمَ كَذَلِكَ نَجْزِي الظَّالِمِينَ
Цатешачарна ца го-техьа стигланаш а‚ латта а хилла хилар вовшаххоттаделла? Оха уьш къастийра! Оха кхоьллира хих массо а дийна (са долу) хIума. Уьш ца теша-те?	أَوَلَمْ يَرَ الَّذِينَ كَفَرُوا أَنَّ السَّمَاوَاتِ وَالْأَرْضَ كَانَتَا رَتْقًا فَفَتَقْنَاهُمَا وَجَعَلْنَا مِنَ الْمَاء كُلَّ شَيْءٍ حَيٍّ أَفَلَا يُؤْمِنُونَ
Оха хилийтира лаьттахь лаьмнаш‚ иза цаьрца чIагIдалийтархьама. Оха хилийтира цу чохь тогIин некъаш – уьш нийсачу новкъа баха мегар-кх	وَجَعَلْنَا فِي الْأَرْضِ رَوَاسِيَ أَن تَمِيدَ بِهِمْ وَجَعَلْنَا فِيهَا فِجَاجًا سُبُلًا لَعَلَّهُمْ يَهْتَدُونَ
Оха хилийтира стигалах ша Iалашбеш болу тхов‚ ткъа уьш цуьнан (стиглан) аятех дбоьрзуш бу /ойла ца еш/	وَجَعَلْنَا السَّمَاء سَقْفًا مَّحْفُوظًا وَهُمْ عَنْ آيَاتِهَا مُعْرِضُونَ
Иза ву Ша кхоьллинарг буьйса а‚ де а‚ малх а‚ бутт а. Массо а шен меттехь нека деш ю	وَهُوَ الَّذِي خَلَقَ اللَّيْلَ وَالنَّهَارَ وَالشَّمْسَ وَالْقَمَرَ كُلٌّ فِي فَلَكٍ يَسْبَحُونَ
Оха ца хилийтина адамна хьол хьалха а абаде. Ткъа хьо велча, уьш гуттар лаьттар болуш бу-те?	وَمَا جَعَلْنَا لِبَشَرٍ مِّن قَبْلِكَ الْخُلْدَ أَفَإِن مِّتَّ فَهُمُ الْخَالِدُونَ
Массо а сино Iовшур ду далар. Оха зуьйр ду шу вонаца а‚ диканца а питана хилла. Тхуна тIе юхадерзор долуш а ду шу	كُلُّ نَفْسٍ ذَائِقَةُ الْمَوْتِ وَنَبْلُوكُم بِالشَّرِّ وَالْخَيْرِ فِتْنَةً وَإِلَيْنَا تُرْجَعُونَ
Цатешачарна хьо гича‚ хьо сийсазвой бен тIе ца лоцу цара: 'ХIара ву шун делий хьехош верг?' Ткъа уьш Къинхетам берг хьехорна керста бу	وَإِذَا رَآكَ الَّذِينَ كَفَرُوا إِن يَتَّخِذُونَكَ إِلَّا هُزُوًا أَهَذَا الَّذِي يَذْكُرُ آلِهَتَكُمْ وَهُم بِذِكْرِ الرَّحْمَنِ هُمْ كَافِرُونَ
Адам кхоьллина сихонах. Гойтур ду Ас шуна Сан делилаш‚ аш Со сих ма ве!	خُلِقَ الْإِنسَانُ مِنْ عَجَلٍ سَأُرِيكُمْ آيَاتِي فَلَا تَسْتَعْجِلُونِ
Цара олу: 'Маца хир ю и ваIда /кхочуш/‚ шу бакълуьйш хиллехь?'	وَيَقُولُونَ مَتَى هَذَا الْوَعْدُ إِن كُنتُمْ صَادِقِينَ
Хаахьара цатешачарна шаьш шайн яххьашна тIера а, шайн баккъашна тIера а цIе дIа тоьттур йоцу‚ шайна гIо хир доцу хан! /Ма сих дийр дацара цара тIаккха и Делан Iазап/!	لَوْ يَعْلَمُ الَّذِينَ كَفَرُوا حِينَ لَا يَكُفُّونَ عَن وُجُوهِهِمُ النَّارَ وَلَا عَن ظُهُورِهِمْ وَلَا هُمْ يُنصَرُونَ
