Моя история	Сара сҭоурых
Это правда.	Ари иашоуп.
Английские корабли приближаются с юга.	Англыз ӷбақәа иааигәахоит мраҭашәарахьынтә.
Я ничего не знаю о уеллийцах, но ирландцы уже высадились.	Сара акгьы сыздыруам уелзуаа рыӡбахәала, аха аирландцәа уажәшьҭа иӡхыҵит.
Я не поверил, пока не увидел своими глазами.	Сыбла иамбакәа исызхамҵеит.
Какого черта ирландцы будут сражаться за англичан?	Изрыцхыраауазеи аирландцәа, англиаа?
Я бы не беспокоился о них.	Урҭ рзыҳәа агәрҩа шәҽашәмырган.
Разве я не говорил?	Сара ишәасымҳәазеи,
Это же мой остров.	Ари сара сыдгьыл бжьахоуп.
Хэмиш, скачи в эдинбург и собирай совет.	Ҳеимиш.
Прикажи им.	Уҽыжәла еденбраҟа еидкыл абыргцәа рхеилак, ирццакны.
- твой остров?	- са истәуп уҳәама?
- мой остров!	- сыдгьыл бжьахоуп, сыдгьыл бжьахоуп.
- нам нужно договориться.	- иинараӡам.
- пожалуйста, джентльмены.	- сшәыҳәоит шәара шәыххь згеит.
Господа, крейг прав.	Уара унашоуп.
И нам все еще нужно подготовиться, так что я скажу коротко.	Ҳаргьы аҵыхәтәанынӡа ҳазыҟаҵаӡам, иара убасгьы ишәасҳәоит иашаны.
Нам нужен каждый солдат, которого вы можете призвать.	Ҳара иаҳҭахуп ишәымоу ар зегьы,
Ваша личная свита, даже вы сами.	Насгьы шәыхьчаҩцәеи, иара шәара шәхаҭакәгьы.
И нужны немедленно.	Ҳәарада ирццактәуп.
Другие возможности?	Ахықәгарақәа,
Вы не хотите хотя бы вывести ваших людей на поле боя	Аханатә ар наҟ аиагара еҳа еиӷзар, аибашьра адәаҿы,
И договориться с длинноногим перед тем, как поджать хвост	Нас иашәҭаххар едуард иҟнытә иреџӷьу.
- и сбежать.	- аилаӡара нас ҳҽыцәахны ҳақәҵны ҳцаанӡа.
- сэр уильям...	- аамсҭа уилиам
- мы не сможем поразить их.	- ҳара ҳзиааиӡом.
- сможем.	- ҳара иҳалшоит,
- сэр уильям.	- аамсҭа уилиам.
- и мы победим.	- насгьы ҳаиаауеит.
Мы победили у стерлинга, а вы все еще колеблитесь.	Ихаан ҳара ҳамаиааизи?
Мы победили у йорка, и вы не поддерживаете нас.	Ҳара иаҳгахьан иорк, аха шәара шәҳадгалаӡамызт
Если вы не станете с нами сейчас, я скажу, что вы трусы.	Шәҳашьҭаланы шәмаалар сара ишәыхьӡыстәоит ашәыргәндақәа.
Если вы шотландцы,	Шәара шәшотландцәамзар,
Умоляю.	Сшәыҳәоит шәара.
Вы достигли большего, чем кто-либо мог мечтать,	Уара утәқәа ирацәаны инарыгӡахьеит.
Но сражаться с неравными силами - это безумие, а не отвага.	Аха уи агәмшәара иаҵанакӡом, аха уи иаанагаӡом агәеибафара.
Это больше чем безумие.	Ари еиҳауп агәеибафара ацкыс,
Помоги мне.	Шәсыцхраа,
Во имя христа, помогите себе.	Анцәа иҟнытә,
Если мы объединимся, мы победим.	Ҳаидгылар ҳара ҳаиааиуеит,
Если победим, то обретем то, о чем никто из нас и не мечтал.	Ҳаиааир иҳауоит ахаан иаҳмоуцыз
Собственную страну.	Ҳхатәы тәыла,
И ты законный вождь, в тебе есть сила, я вижу это.	Шәара зинла шәаԥхьагылаҩцәоуп, шәара ишәымоуп амчра сара уи збоит.
